Title: test opamp tran
Date: Wed Sep 16 09:53:01  2026
Command: ngspice-45.2, Build Sep  6 2025   16:26:01
Plotname: Transient Analysis
Flags: real
No. Variables: 3
No. Points: 490
Variables:
	0	time	time
	1	v(vout3)	voltage
	2	v(visr)	voltage
Values:
 0	0.000000000000000e+00
	2.985606162267996e-01
	3.000000000000000e-01

 1	1.000000000000000e-08
	2.985606162279197e-01
	3.000000000000000e-01

 2	2.000000000000000e-08
	2.985606162288618e-01
	3.000000000000000e-01

 3	4.000000000000000e-08
	2.985606162303324e-01
	3.000000000000000e-01

 4	8.000000000000000e-08
	2.985606162346178e-01
	3.000000000000000e-01

 5	1.600000000000000e-07
	2.985606162256410e-01
	3.000000000000000e-01

 6	3.200000000000000e-07
	2.985606162185364e-01
	3.000000000000000e-01

 7	6.400000000000000e-07
	2.985606162388778e-01
	3.000000000000000e-01

 8	1.000000000000000e-06
	2.985606162144263e-01
	3.000000000000000e-01

 9	1.000000100000000e-06
	2.985613572702299e-01
	3.199999999878466e-01

 10	1.000000300000000e-06
	2.985628310419424e-01
	3.600000000058914e-01

 11	1.000000700000000e-06
	2.985657670468017e-01
	4.399999999996294e-01

 12	1.000001000000000e-06
	2.985679174517561e-01
	5.000000000000000e-01

 13	1.000001080000000e-06
	2.985679400370281e-01
	5.000000000000000e-01

 14	1.000001240000000e-06
	2.985679600624713e-01
	5.000000000000000e-01

 15	1.000001560000000e-06
	2.985679525703181e-01
	5.000000000000000e-01

 16	1.000002200000000e-06
	2.985679579386958e-01
	5.000000000000000e-01

 17	1.000003480000000e-06
	2.985679549523124e-01
	5.000000000000000e-01

 18	1.000006040000000e-06
	2.985679603126661e-01
	5.000000000000000e-01

 19	1.000011160000000e-06
	2.985679608368475e-01
	5.000000000000000e-01

 20	1.000021400000001e-06
	2.985679717968531e-01
	5.000000000000000e-01

 21	1.000041880000001e-06
	2.985679847816693e-01
	5.000000000000000e-01

 22	1.000082840000002e-06
	2.985680222631814e-01
	5.000000000000000e-01

 23	1.000164760000004e-06
	2.985680947089911e-01
	5.000000000000000e-01

 24	1.000328600000009e-06
	2.985682647157984e-01
	5.000000000000000e-01

 25	1.000656280000018e-06
	2.985685832330164e-01
	5.000000000000000e-01

 26	1.001311640000036e-06
	2.985687982134339e-01
	5.000000000000000e-01

 27	1.002622360000072e-06
	2.985664404763844e-01
	5.000000000000000e-01

 28	1.005243800000145e-06
	2.985541282507330e-01
	5.000000000000000e-01

 29	1.010486680000290e-06
	2.985551099144072e-01
	5.000000000000000e-01

 30	1.020972440000579e-06
	2.989346764269937e-01
	5.000000000000000e-01

 31	1.041943960001158e-06
	3.007246145799414e-01
	5.000000000000000e-01

 32	1.073019053921320e-06
	3.043700539895139e-01
	5.000000000000000e-01

 33	1.104684641684345e-06
	3.088251246151426e-01
	5.000000000000000e-01

 34	1.159252357151870e-06
	3.182124221061993e-01
	5.000000000000000e-01

 35	1.245630390290637e-06
	3.375650640543518e-01
	5.000000000000000e-01

 36	1.418386456568170e-06
	3.915483519398646e-01
	5.000000000000000e-01

 37	1.763898589123237e-06
	5.192837411181676e-01
	5.000000000000000e-01

 38	1.802060861926145e-06
	5.325222221948442e-01
	5.000000000000000e-01

 39	1.878385407531959e-06
	5.570536883974682e-01
	5.000000000000000e-01

 40	2.031034498743588e-06
	5.938017348105207e-01
	5.000000000000000e-01

 41	2.069196771546495e-06
	5.998769072549576e-01
	5.000000000000000e-01

 42	2.145521317152309e-06
	6.102561498732757e-01
	5.000000000000000e-01

 43	2.298170408363938e-06
	5.419488309918850e-01
	5.000000000000000e-01

 44	2.399588638706394e-06
	4.842478737133369e-01
	5.000000000000000e-01

 45	2.493112997314334e-06
	4.833727584068664e-01
	5.000000000000000e-01

 46	2.547539495419770e-06
	4.894932043500131e-01
	5.000000000000000e-01

 47	2.625024515979948e-06
	4.981655925191683e-01
	5.000000000000000e-01

 48	2.728689572478594e-06
	5.092038666623674e-01
	5.000000000000000e-01

 49	2.851868125010466e-06
	5.081169195327195e-01
	5.000000000000000e-01

 50	2.973499440456758e-06
	4.946028071354125e-01
	5.000000000000000e-01

 51	3.106819922039452e-06
	4.946000862404530e-01
	5.000000000000000e-01

 52	3.225787025211565e-06
	5.045576167357274e-01
	5.000000000000000e-01

 53	3.365146360994864e-06
	4.999275504459348e-01
	5.000000000000000e-01

 54	3.543741585543537e-06
	4.937821464645401e-01
	5.000000000000000e-01

 55	3.704841146663968e-06
	5.023237010676411e-01
	5.000000000000000e-01

 56	3.905755547431856e-06
	4.981786512413424e-01
	5.000000000000000e-01

 57	4.132465161657610e-06
	4.963059026497087e-01
	5.000000000000000e-01

 58	4.371307802402925e-06
	5.016119513044075e-01
	5.000000000000000e-01

 59	4.645437231574250e-06
	4.963529473179049e-01
	5.000000000000000e-01

 60	4.989773232855339e-06
	4.995412307447394e-01
	5.000000000000000e-01

 61	5.447083055508886e-06
	4.984400493071878e-01
	5.000000000000000e-01

 62	5.910031927206843e-06
	4.978556364390985e-01
	5.000000000000000e-01

 63	6.521088203213051e-06
	4.996516854732516e-01
	5.000000000000000e-01

 64	7.261979851837134e-06
	4.971931448656406e-01
	5.000000000000000e-01

 65	8.261979851837134e-06
	4.999824448877483e-01
	5.000000000000000e-01

 66	9.261979851837135e-06
	4.970555593889124e-01
	5.000000000000000e-01

 67	1.026197985183714e-05
	5.000024940595748e-01
	5.000000000000000e-01

 68	1.126197985183714e-05
	4.971413164565800e-01
	5.000000000000000e-01

 69	1.226197985183714e-05
	4.997774813897505e-01
	5.000000000000000e-01

 70	1.326197985183714e-05
	4.973974029721320e-01
	5.000000000000000e-01

 71	1.426197985183714e-05
	4.994984537368479e-01
	5.000000000000000e-01

 72	1.526197985183714e-05
	4.977709889673615e-01
	5.000000000000000e-01

 73	1.626197985183714e-05
	4.990945972107651e-01
	5.000000000000000e-01

 74	1.726197985183714e-05
	4.981831424816845e-01
	5.000000000000000e-01

 75	1.826197985183714e-05
	4.986860084762171e-01
	5.000000000000000e-01

 76	1.926197985183714e-05
	4.985729152700478e-01
	5.000000000000000e-01

 77	2.026197985183714e-05
	4.983215460285639e-01
	5.000000000000000e-01

 78	2.126197985183714e-05
	4.988996120188313e-01
	5.000000000000000e-01

 79	2.226197985183714e-05
	4.980453783045976e-01
	5.000000000000000e-01

 80	2.326197985183714e-05
	4.991200904272590e-01
	5.000000000000000e-01

 81	2.426197985183714e-05
	4.978798811541454e-01
	5.000000000000000e-01

 82	2.526197985183714e-05
	4.992311834944676e-01
	5.000000000000000e-01

 83	2.626197985183714e-05
	4.978231956443251e-01
	5.000000000000000e-01

 84	2.726197985183715e-05
	4.992335335805294e-01
	5.000000000000000e-01

 85	2.826197985183715e-05
	4.978706943245109e-01
	5.000000000000000e-01

 86	2.926197985183715e-05
	4.991497712300019e-01
	5.000000000000000e-01

 87	3.026197985183715e-05
	4.979980267742063e-01
	5.000000000000000e-01

 88	3.126197985183714e-05
	4.989946735187523e-01
	5.000000000000000e-01

 89	3.226197985183714e-05
	4.981730632591647e-01
	5.000000000000000e-01

 90	3.326197985183714e-05
	4.988016018072230e-01
	5.000000000000000e-01

 91	3.426197985183714e-05
	4.983636962928888e-01
	5.000000000000000e-01

 92	3.526197985183713e-05
	4.986123612592413e-01
	5.000000000000000e-01

 93	3.626197985183713e-05
	4.985447842753566e-01
	5.000000000000000e-01

 94	3.726197985183713e-05
	4.984455814730632e-01
	5.000000000000000e-01

 95	3.826197985183712e-05
	4.986931157190959e-01
	5.000000000000000e-01

 96	3.926197985183712e-05
	4.983198286624437e-01
	5.000000000000000e-01

 97	4.026197985183712e-05
	4.987943406454712e-01
	5.000000000000000e-01

 98	4.126197985183712e-05
	4.982449815655446e-01
	5.000000000000000e-01

 99	4.226197985183711e-05
	4.988425061541740e-01
	5.000000000000000e-01

 100	4.326197985183711e-05
	4.982135472275078e-01
	5.000000000000000e-01

 101	4.426197985183711e-05
	4.988380608025472e-01
	5.000000000000000e-01

 102	4.526197985183711e-05
	4.982388320605585e-01
	5.000000000000000e-01

 103	4.626197985183710e-05
	4.987945264490172e-01
	5.000000000000000e-01

 104	4.726197985183710e-05
	4.982997030882486e-01
	5.000000000000000e-01

 105	4.826197985183710e-05
	4.987231161201368e-01
	5.000000000000000e-01

 106	4.926197985183709e-05
	4.983825002402975e-01
	5.000000000000000e-01

 107	5.026197985183709e-05
	4.986368082775715e-01
	5.000000000000000e-01

 108	5.126197985183709e-05
	4.984767320514963e-01
	5.000000000000000e-01

 109	5.226197985183709e-05
	4.985504765311243e-01
	5.000000000000000e-01

 110	5.326197985183708e-05
	4.985587041434328e-01
	5.000000000000000e-01

 111	5.426197985183708e-05
	4.984752259165263e-01
	5.000000000000000e-01

 112	5.526197985183708e-05
	4.986248688271345e-01
	5.000000000000000e-01

 113	5.626197985183707e-05
	4.984195681173340e-01
	5.000000000000000e-01

 114	5.726197985183707e-05
	4.986688107371321e-01
	5.000000000000000e-01

 115	5.826197985183707e-05
	4.983916826649738e-01
	5.000000000000000e-01

 116	5.926197985183707e-05
	4.986875869067977e-01
	5.000000000000000e-01

 117	6.026197985183706e-05
